estadio_id,evento,factor,ic_bajo,ic_alto,juegos_casa
4710,HR,1.0257048373796473,0.8774039063745954,1.2081388384582195,284
4710,2B,1.160330127172836,1.0285868067056285,1.3081286821124671,284
4710,3B,0.9704908444229794,0.6529976567513565,1.410805090043025,284
4710,sencillos,1.035654535028224,0.9742741129319599,1.1024811149465104,284
4710,BB,1.0016600958413804,0.9218805817458267,1.0863416791618377,284
4710,golpeado,1.0347327160771995,0.8133682735220483,1.3174815954148547,284
4710,K,1.0030083050336858,0.939994354141628,1.0641750929028189,284
2950,HR,1.086638885093593,0.9190428406231345,1.2701802825681259,288
2950,2B,0.8640715810034096,0.7491359788472433,0.9911147129137764,288
2950,3B,0.5018229877340477,0.3156464943935473,0.7724120011497381,288
2950,sencillos,0.9984317594194185,0.9427022867823279,1.0653984208126168,288
2950,BB,1.0101784386934478,0.922968872955275,1.1053836515569528,288
2950,golpeado,1.2458021885706894,0.9922925415798709,1.5672570856596704,288
2950,K,0.9168595114541416,0.8556084220879788,0.9790819011399698,288
5320,HR,1.1536715017856602,0.9702080348621422,1.3635384409797813,266
5320,2B,1.0384684194563567,0.9160620688497569,1.1803984728200052,266
5320,3B,1.1338059972064252,0.7546959884475594,1.8017248499620229,266
5320,sencillos,1.1040238849398023,1.0348750225608567,1.1769023454484528,266
5320,BB,1.131632227462934,1.0375494792418867,1.2357140015949555,266
5320,golpeado,1.1186295859386877,0.9103693643341472,1.3973366298498522,266
5320,K,0.905932514975659,0.8512183631540028,0.9645923219556435,266
2929,HR,1.119352414757402,0.9448563616087517,1.3251915397225227,263
2929,2B,1.1330871045215924,1.0044712590624834,1.2928080972006282,263
2929,3B,0.786295916902699,0.4661961725506795,1.2803361062636476,263
2929,sencillos,1.0677687001816731,1.0042787583228405,1.1351689508254834,263
2929,BB,1.034057330137532,0.9468373714182016,1.1318854434771721,263
2929,golpeado,1.2533109451212416,0.9763521090339229,1.6066279730062527,263
2929,K,0.8189429629350334,0.7616402584594709,0.877605699588282,263
2953,HR,1.2170484685504466,1.0142316368986568,1.4534951521853499,264
2953,2B,1.0921313977640048,0.9624679107030666,1.232795530908108,264
2953,3B,0.893222490737102,0.5654354350724797,1.440444584091729,264
2953,sencillos,1.0323685620427459,0.9723100025208742,1.096993191290559,264
2953,BB,1.0036653842432517,0.9062495698247341,1.1047301257547715,264
2953,golpeado,1.2547733963653465,1.007370353737121,1.5682558396680828,264
2953,K,0.9330377990293809,0.8735932650432972,0.9962360266862313,264
2959,HR,0.6065283731375709,0.49989288612259863,0.7314983266832735,257
2959,2B,0.7919094155555675,0.6906439013632973,0.9054793153678552,257
2959,3B,0.7805109592144013,0.45346359406776965,1.325576649138454,257
2959,sencillos,0.9299279144746766,0.8681947979212234,0.9937947763187042,257
2959,BB,0.9737506458012279,0.888649902882523,1.0725013247529496,257
2959,golpeado,1.010029175082668,0.7821462723957672,1.2875535313867936,257
2959,K,1.1181224522293411,1.041020190657524,1.2030359055330198,257
2958,HR,0.9953810290507042,0.832464451561331,1.1829221256878248,284
2958,2B,0.8069671150658236,0.7088707462106838,0.9117685402224004,284
2958,3B,0.3092882007716323,0.16820882452275504,0.5000164652004848,284
2958,sencillos,0.8247242680463812,0.776874524899826,0.8778012360374365,284
2958,BB,1.0699040209875221,0.9680194234924507,1.1758823433697183,284
2958,golpeado,0.9622664838705364,0.7601951070706979,1.2168082133297398,284
2958,K,1.1888126934616736,1.111480251978198,1.2676300795358235,284
2951,HR,1.0417268956662165,0.8961801822590227,1.2062905597837812,274
2951,2B,1.1330908679025102,1.0079247589874345,1.2765573953823417,274
2951,3B,1.2173345173547285,0.7983573901286168,1.8236240382520927,274
2951,sencillos,1.019330949930511,0.9614007906104876,1.0846005801279883,274
2951,BB,0.9726924511784482,0.8885226993991374,1.0662350162695324,274
2951,golpeado,1.0000831107069659,0.7829598070287839,1.294764403975092,274
2951,K,1.0248823133324123,0.9579413846510398,1.1008067139468956,274
3929,HR,1.0363174815849154,0.849594891772204,1.2798632359372948,263
3929,2B,0.7137154260908087,0.6263766935877361,0.8163382443011726,263
3929,3B,0.5476112932998577,0.3209413809831395,0.8590287907862566,263
3929,sencillos,0.8658072020609673,0.8110454186792193,0.9213276713448324,263
3929,BB,0.9120371571122899,0.8259344475618753,0.9950100341020852,263
3929,golpeado,0.890367638662832,0.695183904161928,1.132671075567044,263
3929,K,1.176400365587645,1.1009227932701586,1.260967943600689,263
2957,HR,0.9690980904792714,0.8170922319128726,1.137221480055111,301
2957,2B,0.8653012304278698,0.7628543550962541,0.9778989184133877,301
2957,3B,0.5349279603417315,0.3342167663249088,0.8460111829648531,301
2957,sencillos,0.9022457052889922,0.8507445558511996,0.9588248025348897,301
2957,BB,0.9991966519971093,0.9205941422596767,1.0898681879455467,301
2957,golpeado,0.7888022184008721,0.6419192475967022,0.9743362164847816,301
2957,K,1.2255433317269933,1.1555757656557861,1.2977625926015874,301
5330,HR,0.7893626280824299,0.6204257441607137,0.9803077829736964,142
5330,2B,0.8781047972766959,0.7446029944982238,1.0316219944821547,142
5330,3B,1.3851174330079643,0.8367016134127578,2.1444546026547284,142
5330,sencillos,0.9475621019684319,0.8801947881134516,1.0166897012739122,142
5330,BB,0.9594326851462242,0.861526234229105,1.0678673680535433,142
5330,golpeado,0.8344664339518288,0.6015953099591094,1.122041433641156,142
5330,K,1.0672837709145864,0.9836513769752905,1.1510547909305409,142
5340,HR,0.978004825021285,0.8470135967353638,1.1345082541234517,298
